Date,US_High_Yield,lag,return
1983/07/29,98.21,,
1983/08/31,99.41,98.21,0.012144669054371171
1983/09/30,101.94,99.41,0.02513169268784221
1983/10/31,102.91,101.94,0.009470414936104454
1983/11/30,103.62,102.91,0.00687554153864145
1983/12/30,102.92,103.62,-0.006778373973098439
1984/01/31,106.56,102.92,0.03475621937853557
1984/02/28,105.64,106.56,-0.008671119363147461
1984/02/29,105.64,105.64,0.0
1984/03/30,104.66,105.64,-0.009320086484869705
1984/04/30,103.31,104.66,-0.0129828240827079
1984/05/31,99.37,103.31,-0.03888391961808235
1984/06/29,100.93,99.37,0.015576950007496926
1984/07/31,103.3,100.93,0.023210168874824078
1984/08/31,105.95,103.3,0.025329908588715533
1984/09/28,108.41,105.95,0.02295305095889244
1984/10/31,111.98,108.41,0.032399948247546995
1984/11/30,113.0,111.98,0.009067534791593168
1984/12/31,112.9,113.0,-0.000885347556724092
1985/01/31,117.19,112.9,0.03729407811489427
1985/02/28,118.67,117.19,0.012549982406536486
1985/03/29,119.18,118.67,0.004288423641785499
1985/04/30,121.36,119.18,0.018126379721444152
1985/05/31,126.5,121.36,0.041480973127297815
1985/06/28,128.1,126.5,0.012568900735113964
1985/07/31,129.18,128.1,0.008395571701638183
1985/08/30,131.78,129.18,0.019927084881346424
1985/09/30,133.04,131.78,0.009515969398998791
1985/10/31,133.39,133.04,0.002627333268280019
1985/11/29,136.71,133.39,0.02458472579094817
1985/12/31,141.85,136.71,0.03690826731095953
1986/01/31,143.72,141.85,0.013096800990457957
1986/02/28,149.25,143.72,0.03775579002739349
1986/03/31,154.99,149.25,0.03773784643624811
1986/04/30,157.45,154.99,0.01574734883807416
1986/05/30,159.18,157.45,0.010927689830669607
1986/06/30,160.95,159.18,0.011058120367113844
1986/07/31,159.34,160.95,-0.010053473792597245
1986/08/29,161.79,159.34,0.015258914065025664
1986/09/30,163.73,161.79,0.011919531634155156
1986/10/31,167.53,163.73,0.022943710054040167
1986/11/28,167.08,167.53,-0.002689700076466295
1986/12/31,166.6,167.08,-0.0028770098962320745
1987/01/30,173.49,166.6,0.0405242311054943
1987/02/27,177.17,173.49,0.02098976277410891
1987/03/31,178.39,177.17,0.006862441150830456
1987/04/30,172.19,178.39,-0.03537364646508134
1987/05/29,173.43,172.19,0.007175541464399693
1987/06/30,175.65,173.43,0.012719318949341307
1987/07/31,176.12,175.65,0.0026722021757175085
1987/08/31,177.21,176.12,0.0061698890997003986
1987/09/30,171.63,177.21,-0.03199447303870695
1987/10/30,166.02,171.63,-0.0332327339216576
1987/11/30,170.8,166.02,0.028385018327580447
1987/12/31,174.91,170.8,0.023778274564501878
1988/01/29,180.76,174.91,0.03289862862410686
1988/02/29,186.61,180.76,0.031850693002302144
1988/03/31,184.67,186.61,-0.010450429087599744
1988/04/29,186.08,184.67,0.007606240312573398
1988/05/31,186.36,186.08,0.0015035981782416385
1988/06/30,189.08,186.36,0.01448991897644003
1988/07/29,190.32,189.08,0.006536660069666134
1988/08/31,190.04,190.32,-0.001472289675981564
1988/09/30,192.43,190.04,0.012497874913747431
1988/10/31,194.76,192.43,0.012035580082032205
1988/11/30,195.91,194.76,0.00588733878544101
1988/12/30,196.83,195.91,0.004685041924954447
1989/01/31,200.3,196.83,0.017475830646876744
1989/02/28,200.74,200.3,0.0021942957138820773
1989/03/31,199.17,200.74,-0.007851806986476362
1989/04/28,200.01,199.17,0.004208633898900693
1989/05/31,203.89,200.01,0.019213267430804315
1989/06/30,206.42,203.89,0.012332295408904237
1989/07/31,206.15,206.42,-0.0013088689848785862
1989/08/31,206.85,206.15,0.0033898337545119617
1989/09/29,203.37,206.85,-0.016966912796436695
1989/10/31,198.55,203.37,-0.023986022533723173
1989/11/30,198.16,198.55,-0.0019661723961563737
1989/12/29,198.47,198.16,0.001563170023063165
1990/01/31,194.21,198.47,-0.0216979073668071
1990/02/28,190.2,194.21,-0.020863897726070668
1990/03/30,195.19,190.2,0.025897293047229653
1990/04/30,194.86,195.19,-0.0016920911613240719
1990/05/31,198.62,194.86,0.01911209947801673
1990/06/29,203.42,198.62,0.023879355722238316
1990/07/31,208.9,203.42,0.026582861365069377
1990/08/31,197.01,208.9,-0.05860117969152867
1990/09/28,182.63,197.01,-0.07579224066704082
1990/10/31,173.04,182.63,-0.05393946655914661
1990/11/30,178.44,173.04,0.030729628615260296
1990/12/31,179.44,178.44,0.005588479951889269
1991/01/31,184.37,179.44,0.02710371787034571
1991/02/28,204.54,184.37,0.10381894729556773
1991/03/28,216.59,204.54,0.05724261007153775
1991/03/29,216.59,216.59,0.0
1991/04/30,225.47,216.59,0.040180946949016416
1991/05/31,225.88,225.47,0.0018167724062152502
1991/06/28,232.56,225.88,0.029144371445984696
1991/07/31,240.0,232.56,0.03149066709137038
1991/08/30,245.52,240.0,0.022739486969489242
1991/09/30,248.94,245.52,0.01383349326135086
1991/10/31,257.25,248.94,0.03283647114132737
1991/11/29,258.59,257.25,0.005195421115656629
1991/12/31,262.31,258.59,0.01428321460147064
1992/01/31,271.55,262.31,0.034619274049568105
1992/02/28,278.25,271.55,0.024373705674800128
1992/03/31,281.7,278.25,0.012322684726672861
1992/04/30,282.77,281.7,0.0037911714762186577
1992/05/29,286.76,282.77,0.01401178262612568
1992/06/30,289.46,286.76,0.0093714892247867
1992/07/31,293.83,289.46,0.014984250596520532
1992/08/31,297.68,293.83,0.013017715232388483
1992/09/30,300.71,297.68,0.010127261139770916
1992/10/30,296.47,300.71,-0.014200312297892204
1992/11/30,300.2,296.47,0.012502886319115447
1992/12/31,303.63,300.2,0.011360935669558536
1993/01/29,312.46,303.63,0.028666606114836846
1993/02/26,317.97,312.46,0.017480577723516966
1993/03/31,322.06,317.97,0.012780824882576702
1993/04/30,324.87,322.06,0.008687238718547263
1993/05/28,328.73,324.87,0.011811642831060176
